code;name;sector;segment
FNCN;FINANSINOS;FINANCEIRO;SOC. CRÉDITO E FINANCIAMENTO
MERC;MERC FINANC;FINANCEIRO;SOC. CRÉDITO E FINANCIAMENTO
BDLS;BRADESCO LSG;FINANCEIRO;SOC. ARRENDAMENTO MERCANTIL
BVLS;BV LEASING;FINANCEIRO;SOC. ARRENDAMENTO MERCANTIL
DBEN;DIBENS LSG;FINANCEIRO;SOC. ARRENDAMENTO MERCANTIL
BZRS;BRAZIL REALT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
BSCS;BRAZILIAN SC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
BRCS;BRC SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
WTVR;BRPR 56 SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
CBSC;CIBRASEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
ECOA;ECO SEC AGRO;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
GAFL;GAIA AGRO;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
GAIA;GAIA SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
OCTS;OCTANTE SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
PDGS;PDG SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
PLSC;POLO CAP SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
RBRA;RBCAPITALRES;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
APCS;TRUESEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
VERT;VERTCIASEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
WTPI;WTORRE PIC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS
BNDP;BNDESPAR;FINANCEIRO;GESTÃO DE RECURSOS E INVESTIMENTOS
BFRE;BRAZILIAN FR;FINANCEIRO;GESTÃO DE RECURSOS E INVESTIMENTOS
GPIV;GP INVEST;FINANCEIRO;GESTÃO DE RECURSOS E INVESTIMENTOS
IDNT;IDEIASNET;FINANCEIRO;GESTÃO DE RECURSOS E INVESTIMENTOS
PPLA;PPLA;FINANCEIRO;GESTÃO DE RECURSOS E INVESTIMENTOS
B3SA;B3;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS
CIEL;CIELO;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS
BRGE;ALFA CONSORC;FINANCEIRO;SEGURADORAS
BBSE;BBSEGURIDADE;FINANCEIRO;SEGURADORAS
IRBR;IRBBRASIL RE;FINANCEIRO;SEGURADORAS
PSSA;PORTO SEGURO;FINANCEIRO;SEGURADORAS
CSAB;SEG AL BAHIA;FINANCEIRO;SEGURADORAS
SULA;SUL AMERICA;FINANCEIRO;SEGURADORAS
APER;ALPER S.A.;FINANCEIRO;CORRETORAS DE SEGUROS
WIZS;WIZ S.A.;FINANCEIRO;CORRETORAS DE SEGUROS
ALSO;ALIANSCSONAE;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
BRML;BR MALLS PAR;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
BRPR;BR PROPERT;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
CORR;COR RIBEIRO;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
CCPR;CYRE COM-CCP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
GSHP;GENERALSHOPP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
HBTS;HABITASUL;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
IGBR;IGB S/A;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
IGTA;IGUATEMI;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
JPSA;JEREISSATI;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
LOGG;LOG COM PROP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
MNZC;MENEZES CORT;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
MULT;MULTIPLAN;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
SCAR;SAO CARLOS;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
BBRK;BR BROKERS;FINANCEIRO;INTERMEDIAÇÃO IMOBILIÁRIA
LPSB;LOPES BRASIL;FINANCEIRO;INTERMEDIAÇÃO IMOBILIÁRIA
MOAR;MONT ARANHA;FINANCEIRO;HOLDINGS DIVERSIFICADAS
PEAB;PAR AL BAHIA;FINANCEIRO;HOLDINGS DIVERSIFICADAS
SPRI;SPRINGER;FINANCEIRO;HOLDINGS DIVERSIFICADAS
CTBA;CEPAC - CTBA;FINANCEIRO;OUTROS TÍTULOS
MCRJ;CEPAC - MCRJ;FINANCEIRO;OUTROS TÍTULOS
PMSP;CEPAC - PMSP;FINANCEIRO;OUTROS TÍTULOS
QVQP;524 PARTICIP;OUTROS;OUTROS
ALEF;ALEF S/A;OUTROS;OUTROS
ATOM;ATOMPAR;OUTROS;OUTROS
BETP;BETAPART;OUTROS;OUTROS
CABI;CABINDA PART;OUTROS;OUTROS
CACO;CACONDE PART;OUTROS;OUTROS
CPTP;CAPITALPART;OUTROS;OUTROS
MAPT;CEMEPE;OUTROS;OUTROS
CMSA;CIMS;OUTROS;OUTROS
OPGM;GAMA PART;OUTROS;OUTROS
FIGE;INVEST BEMGE;OUTROS;OUTROS
JBDU;J B DUARTE;OUTROS;OUTROS
SPRT;LONGDIS;OUTROS;OUTROS
MGIP;MGI PARTICIP;OUTROS;OUTROS
OPHE;OPPORT ENERG;OUTROS;OUTROS
PPAR;POLPAR;OUTROS;OUTROS
PRPT;PROMPT PART;OUTROS;OUTROS
SLCT;SELECTPART;OUTROS;OUTROS
OPSE;SUDESTE S/A;OUTROS;OUTROS
OPTS;SUL 116 PART;OUTROS;OUTROS
RRRP;3R PETROLEUM;PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO
AERI;AERIS;BENS INDUSTRIAIS;MÁQ. E EQUIP. INDUSTRIAIS
ALLD;ALLIED;CONSUMO CÍCLICO;ELETRODOMÉSTICOS
ALPK;ESTAPAR;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS
AVLL;ALPHAVILLE;CONSUMO CÍCLICO;INCORPORAÇÕES
AMBP;AMBIPAR;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO
AURA;AURA 360;MATERIAIS BÁSICOS;MINERAIS METÁLICOS
BOAS;BOA VISTA;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS
CURY;CURY S/A;CONSUMO CÍCLICO;INCORPORAÇÕES
DMVF;D1000VFARMA;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS
ENJU;ENJOEI;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
SOMA;GRUPO SOMA;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS
GMAT;GRUPO MATEUS;CONSUMO NÃO CÍCLICO;ALIMENTOS
HBRE;HBR REALTY;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS
LAVV;LAVVI;CONSUMO CÍCLICO;INCORPORAÇÕES
LJQQ;QUERO-QUERO;CONSUMO CÍCLICO;PRODUTOS DIVERSOS
CASH;MELIUZ;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
MELK;MELNICK;CONSUMO CÍCLICO;INCORPORAÇÕES
NGRD;NEOGRID;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
PETZ;PETZ;CONSUMO CÍCLICO;PRODUTOS DIVERSOS
PLPL;PLANOEPLANO;CONSUMO CÍCLICO;INCORPORAÇÕES
RDOR;REDE D OR;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS
ASAI;ASSAI;CONSUMO NÃO CÍCLICO;ALIMENTOS
SEQL;SEQUOIA LOG;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS
SIMH;SIMPAR;FINANCEIRO;HOLDINGS DIVERSIFICADAS
TIMS;TIM;COMUNICAÇÕES;TELECOMUNICAÇÕES
TFCO;TRACK FIELD;CONSUMO CÍCLICO;VESTUÁRIO
CSED;CRUZEIRO EDU;CONSUMO CÍCLICO;SERVIÇOS EDUCACIONAIS
CMIN;CSNMINERACAO;MATERIAIS BÁSICOS;MINERAIS METÁLICOS
DESK;DESKTOP;COMUNICAÇÕES;TELECOMUNICAÇÕES
DOTZ;DOTZ SA;CONSUMO CÍCLICO;PROGRAMAS DE FIDELIZAÇÃO
ELMD;ELETROMIDIA;COMUNICAÇÕES;PUBLICIDADE E PROPAGANDA
POWE;FOCUS ON;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA
G2DI;G2D INVEST;FINANCEIRO;GESTÃO DE RECURSOS E INVESTIMENTOS
NINJ;GETNINJAS;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
GGPS;GPS;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS
MATD;MATER DEI;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS
AESB;AES BRASIL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA
AGXY;AGROGALAXY;CONSUMO NÃO CÍCLICO;AGRICULTURA
ARML;ARMAC;CONSUMO CÍCLICO;ALUGUEL DE CARROS
MODL;MODALMAIS;FINANCEIRO;BANCOS
BMOB;BEMOBI TECH;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
SOJA;BOA SAFRA;CONSUMO CÍCLICO;AGRICULTURA
BRBI;BR PARTNERS;FINANCEIRO;BANCOS
BRIT;BRISANET;COMUNICAÇÕES;TELECOMUNICAÇÕES
CLSA;CLEARSALE;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS
CBAV;CBA;MATERIAIS BÁSICOS;MINERAIS METÁLICOS
GRAO;AGRIBRASIL;CONSUMO NÃO CÍCLICO;AGRICULTURA
IFCM;INFRACOMM;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
INTB;INTELBRAS;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS
JALL;JALLESMACHAD;CONSUMO NÃO CÍCLICO;AÇUCAR E ALCOOL
KLAS;KALLAS;CONSUMO CÍCLICO;INCORPORAÇÕES
KRSA;KORA SAUDE;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS
LVTC;WDC NETWORKS;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
LLBI;LE BISCUIT;CONSUMO CÍCLICO;PRODUTOS DIVERSOS
MBLY;MOBLY;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
MOSI;MOSAICO;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
ESPA;ESPACOLASER;CONSUMO CÍCLICO;PRODUTOS DIVERSOS
MLAS;MULTILASER;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS
OPCT;OCEANPACT;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS
ONCO;ONCOCLINICAS;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS
ORVR;ORIZON;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO
RECV;PETRORECSA;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO
RAIZ;RAIZEN;CONSUMO NÃO CÍCLICO;AGRICULTURA
RBNS;RODOBENS;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE
TRAD;TC;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
TEGA;TEGRA INCORP;CONSUMO CÍCLICO;INCORPORAÇÕES
LAND;TERRASANTAPA;CONSUMO NÃO CÍCLICO;AGRICULTURA
TTEN;3TENTOS;CONSUMO NÃO CÍCLICO;AGRICULTURA
FIQE;UNIFIQUE;COMUNICAÇÕES;TELECOMUNICAÇÕES
WEST;WESTWING;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS
